 ,Label,Area,Mean,Min,Max,Length
1,Segundo teste (folhas).png:0252-0470,1.157,146.495,63.062,239.787,10.217
2,Segundo teste (folhas).png:0488-0405,0.712,80.468,38.347,203.976,6.328
3,Segundo teste (folhas).png:0715-0275,0.559,155.750,60.795,207.407,4.961
4,Segundo teste (folhas).png:0484-0740,0.915,131.790,52.667,242.309,8.086
5,Segundo teste (folhas).png:0685-0746,0.788,119.439,55.333,183.101,7.043
6,Segundo teste (folhas).png:0392-1677,0.636,114.953,66.816,188.750,5.607
7,Segundo teste (folhas).png:1469-0205,1.030,156.495,84.296,199.258,9.084
8,Segundo teste (folhas).png:1254-0609,0.877,170.794,80.785,233.000,7.818
